id,originator_id,beneficiary_id,amount_native,currency,amount_usd,amount_sgd,corridor,channel,in_scope_jurisdictions,scenario_category,scenario_sub_shape,expected_us_verdict,expected_sg_verdict,expected_contradiction_type,reason_summary,raw,occurred_at
1b2237f2-063f-46ec-a436-5f5ea111bd4b,9f119f7d-ddee-49c3-8bc3-7468c123fdf5,81144d16-5334-4053-881b-bd1385dc4afe,3106.99,USD,3106.99,4198.63,US-US-USD,ACH,"[""US""]",1_normal,us_dom_b2b,allow,not_in_scope,D,US: allow; SG: not in scope,"{""originator_alias"": ""us_sme_education"", ""originator_domicile"": ""US"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""us_sme_consulting_b"", ""beneficiary_domicile"": ""US"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""us_dom_b2b"", ""expected_us_verdict"": ""allow"", ""expected_sg_verdict"": ""not_in_scope"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: allow; SG: not in scope"", ""sg_signals"": {}, ""note"": ""Normal: us_dom_b2b""}",2026-03-25 07:35:00+00:00
cc8c358c-420a-4281-8009-940c2824e53b,68d772d8-0938-4731-aab7-cd6fcbbbc327,06e7c621-dafd-42e1-911b-3fa4aa8b4534,29310.96,USD,29310.96,39609.4,US-SG-USD,SWIFT,"[""SG"", ""US""]",1_normal,sg_us_trade,allow,allow,D,US: allow; SG: allow,"{""originator_alias"": ""us_sme_marine"", ""originator_domicile"": ""US"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_sme_textiles_b"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""sg_us_trade"", ""expected_us_verdict"": ""allow"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: allow; SG: allow"", ""sg_signals"": {}, ""note"": ""Normal: sg_us_trade""}",2026-03-25 07:59:00+00:00
7ea01852-0865-4acc-95fc-d8ff0c9fd685,06e7c621-dafd-42e1-911b-3fa4aa8b4534,516f53e5-6729-4bfa-a7c7-5d72c4ce3e2c,9912.74,SGD,7335.43,9912.74,SG-SG-SGD,GIRO,"[""SG""]",1_normal,sg_dom_b2b,not_in_scope,allow,D,US: not in scope; SG: allow,"{""originator_alias"": ""sg_sme_textiles_b"", ""originator_domicile"": ""SG"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_sme_design"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""sg_dom_b2b"", ""expected_us_verdict"": ""not_in_scope"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: not in scope; SG: allow"", ""sg_signals"": {}, ""note"": ""Normal: sg_dom_b2b""}",2026-03-25 07:59:00+00:00
4a3fa080-5f28-4db1-8e8b-2ac9dc9c6165,7674e493-c4df-4fe0-8f0f-a67b1b8e2093,eec8ae32-137c-4271-b23f-5f7581c49654,10825.75,SGD,8011.06,10825.75,SG-SG-SGD,GIRO,"[""SG""]",1_normal,sg_payroll,not_in_scope,allow,D,US: not in scope; SG: allow,"{""originator_alias"": ""sg_sme_property"", ""originator_domicile"": ""SG"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_ind_c"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""sg_payroll"", ""expected_us_verdict"": ""not_in_scope"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: not in scope; SG: allow"", ""sg_signals"": {}, ""note"": ""Normal: sg_payroll""}",2026-03-25 08:06:00+00:00
b933c729-4fc6-4f9c-8d3e-4e9ee3780277,191baaae-d6cb-4ee3-9af7-0462f61844d4,21ccf944-5f83-4353-8e64-5af20e360959,172081.57,USD,172081.57,232542.66,SG-MY-USD,SWIFT,"[""SG"", ""US""]",6_pep,foreign_pep_direct,flag,flag,A,"US: flag (US.PEP.FOREIGN, US.ML.THRESHOLD, US.SAR.5K); SG: flag (SG.PEP.FOREIGN, SG.ML.THRESHOLD, SG.STR.SUSPICION)","{""originator_alias"": ""sg_sme_consultancy_a"", ""originator_domicile"": ""SG"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""my_pep_for"", ""beneficiary_domicile"": ""MY"", ""beneficiary_pep"": ""foreign"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""6_pep"", ""scenario_sub_shape"": ""foreign_pep_direct"", ""expected_us_verdict"": ""flag"", ""expected_sg_verdict"": ""flag"", ""expected_contradiction_type"": ""A"", ""reason_summary"": ""US: flag (US.PEP.FOREIGN, US.ML.THRESHOLD, US.SAR.5K); SG: flag (SG.PEP.FOREIGN, SG.ML.THRESHOLD, SG.STR.SUSPICION)"", ""sg_signals"": {}, ""note"": ""Direct payment to foreign PEP""}",2026-03-25 08:16:00+00:00
d1b3ca8b-8ece-493d-ae17-cd57e92acc6d,0f4bb13a-e834-4c71-bb01-75d6700066a8,21b55d86-65f6-4ccf-a4af-35aa806655c4,41360.61,USD,41360.61,55892.71,US-SG-USD,SWIFT,"[""SG"", ""US""]",1_normal,sg_us_trade,allow,allow,D,US: allow; SG: allow,"{""originator_alias"": ""us_sme_software_b"", ""originator_domicile"": ""US"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_sme_it_services"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""sg_us_trade"", ""expected_us_verdict"": ""allow"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: allow; SG: allow"", ""sg_signals"": {}, ""note"": ""Normal: sg_us_trade""}",2026-03-25 08:48:00+00:00
ed6bb0e2-40c3-4900-8ce0-764debb8ee3c,7674e493-c4df-4fe0-8f0f-a67b1b8e2093,11017773-fb28-4096-a091-2c38ee297f31,29480.62,SGD,21815.66,29480.62,SG-SG-SGD,FAST,"[""SG""]",7_cross_border,sgd_domestic,not_in_scope,allow,D,US: not in scope; SG: allow,"{""originator_alias"": ""sg_sme_property"", ""originator_domicile"": ""SG"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_sme_consultancy_b"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""7_cross_border"", ""scenario_sub_shape"": ""sgd_domestic"", ""expected_us_verdict"": ""not_in_scope"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: not in scope; SG: allow"", ""sg_signals"": {}, ""note"": ""SGD-only domestic \u2014 no US scope""}",2026-03-25 09:25:00+00:00
6a92727f-0452-49dd-8a89-0af48b719581,d485f750-82ed-4699-b9af-6cb063ca7e3d,556deaf2-5c11-47ae-a34b-49faca27b068,13570.03,USD,13570.03,18337.88,US-US-USD,FEDWIRE,"[""US""]",1_normal,us_dom_b2b,allow,not_in_scope,D,US: allow; SG: not in scope,"{""originator_alias"": ""us_sme_legal"", ""originator_domicile"": ""US"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""us_sme_imports_a"", ""beneficiary_domicile"": ""US"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""us_dom_b2b"", ""expected_us_verdict"": ""allow"", ""expected_sg_verdict"": ""not_in_scope"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: allow; SG: not in scope"", ""sg_signals"": {}, ""note"": ""Normal: us_dom_b2b""}",2026-03-25 09:37:00+00:00
17f9c181-c871-4df7-89f5-181eef816dbe,0416a93c-7692-41e9-b4f4-150ff121c4f0,f7ba7e6f-92e6-4d3b-a6ad-d9f947e3acba,1730.46,SGD,1280.54,1730.46,SG-SG-SGD,FAST,"[""SG""]",1_normal,sg_dom_b2b,not_in_scope,allow,D,US: not in scope; SG: allow,"{""originator_alias"": ""sg_sme_food"", ""originator_domicile"": ""SG"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""sg_sme_construction_a"", ""beneficiary_domicile"": ""SG"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""sg_dom_b2b"", ""expected_us_verdict"": ""not_in_scope"", ""expected_sg_verdict"": ""allow"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: not in scope; SG: allow"", ""sg_signals"": {}, ""note"": ""Normal: sg_dom_b2b""}",2026-03-25 09:41:00+00:00
58401e74-7fa2-446e-be23-c0954fafcd0c,570f6129-85e2-4d72-b917-e2239c84d0fd,556deaf2-5c11-47ae-a34b-49faca27b068,1678.05,USD,1678.05,2267.63,US-US-USD,ACH,"[""US""]",1_normal,us_dom_b2b,allow,not_in_scope,D,US: allow; SG: not in scope,"{""originator_alias"": ""us_sme_furniture_a"", ""originator_domicile"": ""US"", ""originator_pep"": ""none"", ""beneficiary_alias"": ""us_sme_imports_a"", ""beneficiary_domicile"": ""US"", ""beneficiary_pep"": ""none"", ""ofac_sdn_match"": false, ""mas_tfs_match"": false, ""scenario_category"": ""1_normal"", ""scenario_sub_shape"": ""us_dom_b2b"", ""expected_us_verdict"": ""allow"", ""expected_sg_verdict"": ""not_in_scope"", ""expected_contradiction_type"": ""D"", ""reason_summary"": ""US: allow; SG: not in scope"", ""sg_signals"": {}, ""note"": ""Normal: us_dom_b2b""}",2026-03-25 10:07:00+00:00
